Id,SalePrice
1461,123348.21
1462,147815.75
1463,176008.04
1464,185671.57
1465,185297.95
1466,184653.4
1467,169142.95
1468,175220.37
1469,182535.11
1470,130665.85
1471,205922.78
1472,97075.96
1473,104370.42
1474,152289.0
1475,123555.45
1476,355499.65
1477,262969.37
1478,302721.65
1479,286282.32
1480,455875.76
1481,298768.19
1482,204984.26
1483,180411.92
1484,170503.15
1485,178960.09
1486,197824.4
1487,305262.38
1488,235944.42
1489,211334.75
1490,222540.4
1491,191849.27
1492,97923.09
1493,192290.78
1494,316496.37
1495,298065.48
1496,240198.54
1497,187880.44
1498,162645.73
1499,156467.05
1500,167167.34
1501,178701.33
1502,167568.37
1503,270317.45
1504,236069.08
1505,216457.94
1506,181911.68
1507,253849.66
1508,186973.0
1509,159170.0
1510,152426.55
1511,151339.37
1512,174546.87
1513,156388.09
1514,194106.35
1515,193635.52
1516,154791.55
1517,152579.77
1518,140146.07
1519,231334.5
1520,137294.0
1521,140993.84
1522,166762.0
1523,111808.5
1524,119828.4
1525,126605.5
1526,126333.0
1527,118610.05
1528,130167.05
1529,140777.41
1530,170482.0
1531,140212.78
1532,99942.33
1533,153175.0
1534,116021.76
1535,147813.6
1536,121380.32
1537,104190.72
1538,168141.87
1539,217037.26
1540,131529.01
1541,136781.73
1542,139058.92
1543,193912.29
1544,92629.55
1545,108221.0
1546,129969.0
1547,138641.83
1548,125385.59
1549,120308.01
1550,136655.0
1551,123806.91
1552,151709.5
1553,135872.79
1554,120136.25
1555,164258.55
1556,105688.87
1557,118405.09
1558,107823.92
1559,123293.98
1560,147015.35
1561,152980.2
1562,130242.25
1563,128148.05
1564,169277.54
1565,158966.64
1566,223036.51
1567,92545.6
1568,222675.16
1569,162796.34
1570,146540.5
1571,136459.88
1572,143286.08
1573,232792.48
1574,124769.32
1575,226642.24
1576,252779.99
1577,199299.37
1578,144652.94
1579,147726.7
1580,189088.82
1581,142774.89
1582,128096.0
1583,325546.37
1584,237644.0
1585,141628.0
1586,87633.43
1587,111608.36
1588,144161.88
1589,105937.8
1590,134845.97
1591,99236.08
1592,125525.0
1593,127951.69
1594,150552.22
1595,126644.08
1596,208071.84
1597,170222.43
1598,189444.65
1599,183401.56
1600,176668.83
1601,86097.87
1602,116483.54
1603,103583.74
1604,268276.42
1605,252509.74
1606,163579.77
1607,180805.15
1608,216815.14
1609,193834.61
1610,166078.22
1611,148540.12
1612,172545.81
1613,169827.41
1614,133470.34
1615,94197.5
1616,92968.5
1617,93929.71
1618,123522.0
1619,139086.0
1620,184752.8
1621,137347.74
1622,146079.84
1623,280757.78
1624,230732.54
1625,127204.07
1626,173190.96
1627,185907.31
1628,275209.46
1629,173537.0
1630,319647.63
1631,199911.74
1632,227039.26
1633,174150.75
1634,188176.32
1635,183315.35
1636,160595.35
1637,189840.15
1638,199107.28
1639,168216.37
1640,225799.98
1641,179597.0
1642,220659.89
1643,221991.85
1644,227506.83
1645,188907.74
1646,160941.37
1647,161885.35
1648,133921.0
1649,139718.0
1650,128273.71
1651,122246.23
1652,98170.0
1653,104572.83
1654,159459.0
1655,159128.23
1656,151028.12
1657,163418.67
1658,163561.4
1659,131249.9
1660,159381.2
1661,423586.1
1662,356940.49
1663,369446.88
1664,437009.37
1665,309420.12
1666,328304.44
1667,343042.17
1668,342671.77
1669,296861.28
1670,339183.52
1671,269234.36
1672,463379.6
1673,303980.78
1674,259545.74
1675,190363.6
1676,199319.94
1677,209195.99
1678,466840.28
1679,361684.64
1680,308721.98
1681,261433.04
1682,306578.05
1683,192059.45
1684,175545.95
1685,178039.76
1686,169240.86
1687,174294.1
1688,192431.42
1689,194013.15
1690,187623.15
1691,184916.75
1692,262508.56
1693,170281.76
1694,182141.0
1695,169109.05
1696,266764.33
1697,165160.7
1698,345002.71
1699,327168.26
1700,246399.87
1701,254566.7
1702,248153.97
1703,262155.58
1704,295185.37
1705,225721.89
1706,429856.42
1707,218207.84
1708,213908.58
1709,262153.8
1710,221725.06
1711,277743.88
1712,267337.46
1713,278133.19
1714,223425.27
1715,202242.15
1716,176513.82
1717,170204.19
1718,123982.5
1719,207791.88
1720,271845.82
1721,163506.42
1722,117395.85
1723,161011.5
1724,220756.72
1725,232559.75
1726,190022.32
1727,168694.39
1728,192638.12
1729,165881.5
1730,160660.47
1731,128158.24
1732,134521.01
1733,125684.41
1734,134444.0
1735,135776.5
1736,124594.33
1737,306682.6
1738,221007.15
1739,278902.74
1740,221359.32
1741,199215.49
1742,176141.18
1743,174997.85
1744,286716.32
1745,197695.5
1746,235113.62
1747,207470.67
1748,216513.63
1749,159614.87
1750,145875.08
1751,216019.91
1752,127101.0
1753,154017.32
1754,193856.24
1755,163064.3
1756,132229.01
1757,121468.4
1758,162455.47
1759,165481.0
1760,165667.5
1761,151172.51
1762,182365.8
1763,163094.42
1764,120605.83
1765,181746.83
1766,189447.74
1767,212479.11
1768,142778.06
1769,161081.59
1770,149494.0
1771,134762.34
1772,138275.5
1773,140512.02
1774,140113.08
1775,131243.5
1776,123462.11
1777,120552.75
1778,145200.87
1779,129033.28
1780,177425.4
1781,125150.25
1782,99687.96
1783,155542.5
1784,119967.68
1785,113290.55
1786,159449.86
1787,179402.5
1788,85236.4
1789,99984.84
1790,99100.27
1791,188512.48
1792,152051.0
1793,149004.4
1794,147756.66
1795,133851.24
1796,143628.53
1797,128389.48
1798,124677.46
1799,120082.5
1800,140228.3
1801,128339.91
1802,142477.17
1803,156557.76
1804,147495.85
1805,137745.83
1806,119948.82
1807,142312.12
1808,129073.16
1809,127125.08
1810,143947.0
1811,113676.38
1812,104311.0
1813,120865.75
1814,102221.46
1815,76399.05
1816,107858.99
1817,147236.4
1818,150436.0
1819,130741.03
1820,84696.54
1821,116414.61
1822,154260.01
1823,75689.48
1824,130138.08
1825,141256.0
1826,117704.04
1827,108720.2
1828,131072.82
1829,129135.51
1830,138212.37
1831,157119.28
1832,122969.53
1833,150694.5
1834,138034.53
1835,142057.5
1836,126252.1
1837,99863.32
1838,129154.0
1839,103901.25
1840,160954.8
1841,142956.88
1842,100588.76
1843,142964.37
1844,142919.87
1845,148282.09
1846,151320.82
1847,158719.0
1848,70649.26
1849,124581.72
1850,122627.58
1851,146134.24
1852,124140.43
1853,151184.07
1854,173317.85
1855,170880.32
1856,223088.43
1857,183104.69
1858,146783.34
1859,122444.02
1860,162432.8
1861,124260.69
1862,296044.31
1863,292783.31
1864,292783.31
1865,343796.09
1866,332755.85
1867,233152.41
1868,293302.09
1869,200639.19
1870,240971.99
1871,248215.92
1872,175197.1
1873,216131.88
1874,144324.1
1875,200003.56
1876,196534.4
1877,219820.78
1878,209842.7
1879,126592.41
1880,139452.0
1881,249107.01
1882,244609.39
1883,197947.15
1884,209820.03
1885,246707.86
1886,281411.91
1887,218790.09
1888,284773.93
1889,175621.78
1890,133237.6
1891,141400.11
1892,114774.99
1893,141514.75
1894,128730.63
1895,148761.34
1896,124260.33
1897,133188.53
1898,121082.75
1899,146709.15
1900,134422.5
1901,148510.83
1902,136856.59
1903,210014.03
1904,134711.39
1905,174382.32
1906,156116.14
1907,199945.82
1908,120131.29
1909,150969.72
1910,127133.0
1911,183302.87
1912,271038.54
1913,160926.01
1914,78240.09
1915,322118.4
1916,82540.63
1917,252621.52
1918,141484.25
1919,172020.06
1920,165119.86
1921,379986.13
1922,319896.22
1923,204325.53
1924,236350.15
1925,216156.54
1926,367945.96
1927,135447.33
1928,162575.56
1929,123234.37
1930,139990.66
1931,147002.6
1932,139385.07
1933,180477.34
1934,177902.57
1935,174065.32
1936,187720.54
1937,177930.7
1938,176396.99
1939,224972.37
1940,182173.3
1941,177889.85
1942,191512.9
1943,192048.78
1944,311482.44
1945,352443.28
1946,148231.8
1947,285258.97
1948,168704.55
1949,241240.01
1950,180779.03
1951,243598.27
1952,218215.06
1953,175027.15
1954,198351.0
1955,135631.41
1956,258575.61
1957,154476.5
1958,316267.46
1959,145083.38
1960,115066.51
1961,125468.6
1962,100743.71
1963,109762.71
1964,111702.83
1965,151417.02
1966,143980.9
1967,294027.36
1968,394769.79
1969,383095.25
1970,427441.63
1971,385332.82
1972,350795.57
1973,291526.33
1974,319973.47
1975,434209.97
1976,295134.72
1977,377916.44
1978,326391.6
1979,334539.46
1980,197170.08
1981,350081.1
1982,231725.39
1983,217393.62
1984,167005.42
1985,235086.43
1986,228431.27
1987,182390.5
1988,179791.5
1989,194064.4
1990,225392.17
1991,212545.33
1992,213408.21
1993,175999.29
1994,225140.7
1995,185514.67
1996,264647.28
1997,312502.9
1998,330087.91
1999,247185.78
2000,293904.42
2001,286516.56
2002,242230.93
2003,250376.69
2004,283220.17
2005,221207.11
2006,216731.67
2007,242109.73
2008,209466.22
2009,202483.46
2010,191174.67
2011,129477.25
2012,183229.88
2013,187791.7
2014,193935.65
2015,197485.41
2016,202432.25
2017,205590.5
2018,135315.16
2019,138593.1
2020,122213.5
2021,115905.58
2022,166565.0
2023,145886.76
2024,253612.69
2025,301532.7
2026,173002.01
2027,160512.68
2028,153802.18
2029,169750.29
2030,265700.34
2031,229606.07
2032,230544.71
2033,251812.54
2034,170623.1
2035,214771.85
2036,184122.0
2037,199821.59
2038,288432.43
2039,227023.77
2040,299249.96
2041,273622.32
2042,203294.15
2043,165951.59
2044,166793.55
2045,197302.42
2046,145109.87
2047,151589.5
2048,138008.08
2049,139702.95
2050,172342.28
2051,115135.44
2052,134714.85
2053,142860.5
2054,99105.66
2055,158698.5
2056,148517.15
2057,126007.5
2058,210063.15
2059,142198.5
2060,168691.03
2061,176269.42
2062,136180.08
2063,116899.68
2064,142837.8
2065,116784.94
2066,172606.24
2067,153080.13
2068,145521.84
